Date,Portfolio Value
2024-12-02,500000
2024-12-03,500000
2024-12-04,500000
2024-12-05,500000
2024-12-06,500000
2024-12-07,500000
2024-12-08,500000
2024-12-09,500000
2024-12-10,500000
